EOS,Parameter,Median,CI90_Lower,CI90_Upper,CI95_Lower,CI95_Upper
8,gr,"13,04","10,31","15,61","9,84665","16,5645"
8,gdel,"1,924","0,15447","6,4046","0,073731","7,7584"
8,gwr,"0,04661","0,014325","0,067914","0,010212","0,071368"
8,rho0,"0,155","0,155","0,155","0,155","0,155"
8,m_eff,"0,7102","0,7102","0,7102","0,7102","0,7102"
8,EB,"-15,98","-15,98","-15,98","-15,98","-15,98"
8,K0,279,279,279,279,279
8,Q0,"-344,2","-344,2","-344,2","-344,2","-344,2"
8,Esym,"32,33","29,491","34,68","29,01","35,18"
8,L,"31,87","13,4","56,028","8,98415","58,749"
8,Ksym,"-131,9","-246,99","-59,99","-284,6","-53,513"
8,Qsym,1588,"803,28",2396,"671,01","2576,45"
20,gr,"13,85","10,99","16,03","10,5","16,38"
20,gdel,"1,688","0,15654","5,3396","0,072424","6,3554"
20,gwr,"0,03837","0,017296","0,052338","0,012666","0,055356"
20,rho0,"0,155","0,155","0,155","0,155","0,155"
20,m_eff,"0,6492","0,6492","0,6492","0,6492","0,6492"
20,EB,"-16,16","-16,16","-16,16","-16,16","-16,16"
20,K0,"211,2","211,2","211,2","211,2","211,2"
20,Q0,"-566,8","-566,8","-566,8","-566,8","-566,8"
20,Esym,"32,4","29,63","34,988","29,13","35,614"
20,L,"34,45","18,304","51,564","14,452","54,886"
20,Ksym,"-19,97","-98,126","37,05","-112,64","41,788"
20,Qsym,1640,1229,"2827,2",1169,"3188,8"
21,gr,"13,16","10,17","15,778","9,7346","16,46"
21,gdel,"1,876","0,15992","6,2772","0,086418","7,3906"
21,gwr,"0,03298","0,0111","0,04813","0,0076858","0,051152"
21,rho0,"0,155","0,155","0,155","0,155","0,155"
21,m_eff,"0,6282","0,6282","0,6282","0,6282","0,6282"
21,EB,"-16,12","-16,12","-16,12","-16,12","-16,12"
21,K0,"214,6","214,6","214,6","214,6","214,6"
21,Q0,"-345,2","-345,2","-345,2","-345,2","-345,2"
21,Esym,"31,9","29,132","34,54","28,636","35,12"
21,L,"40,44","23,434","60,086","18,358","62,492"
21,Ksym,"-13,94","-74,572","50,864","-81,492","55,764"
21,Qsym,1718,"1251,2",3259,"1165,6",3810
